source_id,pmcid,title,authors,year,doi,query,pdf_url,landing_url,host_source,license,file_path,sha256,file_size_bytes,access_date,access_status,http_status,error
EPMC-PMC12725146,PMC12725146,Pneumonia partly mediates the detrimental effect of APOE4 on AD risk: New insights from Causal Mediation Analysis,"Ukraintseva S, Holmes R, Duan H, Wu D, Arbeev K, Yashin A.",2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12725146.1/PMC12725146.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12725146/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/a89d8a1aa7adce21d6ccf3a937dc83c71a67f84235caec51b77a576ece3b29a0.pdf,a89d8a1aa7adce21d6ccf3a937dc83c71a67f84235caec51b77a576ece3b29a0,88919,2026-09-23,downloaded,200,
EPMC-PMC12725425,PMC12725425,Hippocampal Atrophy Mediates the Impact of Amyloid‐β Deposition and Geriatric Depression on Cognitive Decline in Older Adults: A Cross‐Sectional Serial Mediation Analysis,"Suk J, Chun J, Kim K.",2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12725425.1/PMC12725425.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12725425/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/fc5fed4dca0d409198938b3be3884c5bbb1bc5d7555fd8407b4b9fccae5258c9.pdf,fc5fed4dca0d409198938b3be3884c5bbb1bc5d7555fd8407b4b9fccae5258c9,89168,2026-09-23,downloaded,200,
EPMC-PMC12738154,PMC12738154,Association between growth differentiation factor‐15 (GDF‐15) with neurofilament light chain (NfL) and lower cognitive function with mediation from pulse pressure,"Goh K, Low S.",2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12738154.1/PMC12738154.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12738154/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/edec430246ea9c2c03e64a6eb6c6f19da2e3ed8a1f1720a93eb87866d20f3b99.pdf,edec430246ea9c2c03e64a6eb6c6f19da2e3ed8a1f1720a93eb87866d20f3b99,79243,2026-09-23,downloaded,200,
EPMC-PMC12763224,PMC12763224,Medication Confidence and Emotional Distress in Older Adults with Type 2 Diabetes: A Moderated Mediation Approach,,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12763224.1/PMC12763224.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12763224/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/78c7b976bc8cdea07fdbb415cd55dd6c8d28c864c7414b7099fbdccaea1ff5c3.pdf,78c7b976bc8cdea07fdbb415cd55dd6c8d28c864c7414b7099fbdccaea1ff5c3,52518,2026-09-23,downloaded,200,
EPMC-PMC12761040,PMC12761040,"Depression, Social Engagement, and Cognitive Function: A Mediation Analysis",,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12761040.1/PMC12761040.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12761040/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/5bc3ee59ab780d2f7a4dea154ca630e59eb646438d3f8676121ee7925e87829d.pdf,5bc3ee59ab780d2f7a4dea154ca630e59eb646438d3f8676121ee7925e87829d,64214,2026-09-23,downloaded,200,
EPMC-PMC12617162,PMC12617162,"OA2199. Perpetrators’ therapy within penal mediation: A restorative justice approach to domestic violence in Crete, Greece",,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12617162.1/PMC12617162.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12617162/,PubMed Central,cc by-nc,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/fc1b1b1ab2df7d43db207c4c96f1154ce0adb5e5fc4b298f99c27e6b352e22a0.pdf,fc1b1b1ab2df7d43db207c4c96f1154ce0adb5e5fc4b298f99c27e6b352e22a0,62624,2026-09-23,downloaded,200,
EPMC-PMC12903826,PMC12903826,A two-sample Mendelian randomization study and mediation analysis exploring the link between cathepsins and epilepsy.,"Sun H, Ma D, Zhang W, Hou S, Chen Z, Chen Z, Li X, Meng H, Zhang D.",2026,10.1002/epi4.70056,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12903826.1/PMC12903826.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12903826/,PubMed Central,cc by-nc-nd,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/de52c7d1221320f625b92af89ecbd38365ffb5b6490d89a40bb961bf36b74c15.pdf,de52c7d1221320f625b92af89ecbd38365ffb5b6490d89a40bb961bf36b74c15,642043,2026-09-23,downloaded,200,
EPMC-PMC12848466,PMC12848466,47 Reducing ethnic healthcare disparities through the implementation of video-remote intercultural mediation (VRIM) services,,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12848466.1/PMC12848466.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12848466/,PubMed Central,cc by-nc,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/a466350e16f8770069b3a63be7766d90dd523bd1275b99cab922a54a00d485da.pdf,a466350e16f8770069b3a63be7766d90dd523bd1275b99cab922a54a00d485da,63546,2026-09-23,downloaded,200,
EPMC-PMC12776593,PMC12776593,Neuroticism and brain structure: a large‐scale brain‐wide association study with mediation by health conditions,"Gao Y, Topiwala A, Amin N, Van Duijn C, Hunter D, Littlejohns T.",2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12776593.1/PMC12776593.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12776593/,PubMed Central,cc by,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/12ecf40a48dbddb9de4c95ecc51b2de135872d88db2f2c38120998dc46ddcb9a.pdf,12ecf40a48dbddb9de4c95ecc51b2de135872d88db2f2c38120998dc46ddcb9a,2228637,2026-09-23,downloaded,200,
EPMC-PMC12617138,PMC12617138,OA20381 Counseling through Penal Mediation: Therapeutic Effectiveness in Family Violence Interventions,,2025,,OPEN_ACCESS:Y AND FIRST_PDATE:[1900-01-01 TO 2025-12-31] AND (TITLE_ABS:mediation),https://pmc-oa-opendata.s3.amazonaws.com/PMC12617138.1/PMC12617138.1.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC12617138/,PubMed Central,cc by-nc,C:/Users/Krishna/Documents/Codex/2026-09-20/x20/work/donna-experts-data/negotiations/PAPERS_BULK/74c40373fe7ba80923f905bc2e17e6f80aadcfe8c3298f3c19f2cc7ebab68d42.pdf,74c40373fe7ba80923f905bc2e17e6f80aadcfe8c3298f3c19f2cc7ebab68d42,80333,2026-09-23,downloaded,200,
