SOURCE_ID,TITLE,AUTHORS,YEAR,JOURNAL,PUBLISHER,DOI,URL,LANGUAGE,COUNTRY,SOURCE_TYPE,PSYCHOLOGY_DOMAIN,SUBDOMAIN,CONSTRUCTS,POPULATION,SAMPLE_SIZE,METHOD,EXPERIMENTAL,OBSERVATIONAL,LONGITUDINAL,FIELD_STUDY,REVIEW,META_ANALYSIS,PREREGISTERED,REPLICATION,ORIGINAL_STUDY,EFFECT_SIZE_AVAILABLE,DATA_AVAILABLE,CODE_AVAILABLE,OPEN_ACCESS,LICENSE,COPYRIGHT_STATUS,TRAINING_PERMISSION,FILE_PATH,PRIMARY_SOURCE,RELIABILITY_SCORE,REPLICATION_STATUS,EVIDENCE_STRENGTH,NEGOTIATION_RELEVANCE,TRAINING_VALUE,KNOWN_LIMITATIONS,RETRACTION_STATUS,ACCESS_STATUS,OA_PDF_URL,OPENALEX_ID,FILE_SHA256,FILE_BYTES,DISCOVERED_AT,ACQUIRED_AT,NOTES
EPMC_PMC11389481,Interdisciplinary CBT treatment for patients with odontophobia and dental anxiety related to psychological trauma experiences: a case series.,"Westad YAS, Flemmen GL, Solem S, Monsen T, Hollingen H, Feuerherm A, Havnen A, Hagen K.",2024,,,10.1186/s12888-024-06055-w,https://europepmc.org/article/MED/39256740,eng,,case study,clinical_psychology,CASE_EVIDENCE,PSYCHOTHERAPY,,,case report/case study,,TRUE,,,,,,,TRUE,,,,TRUE,cc-by,LICENSED_OPEN_ACCESS,LICENSE_ALLOWS_REUSE_WITH_ATTRIBUTION,pdfs/EPMC_PMC11389481.pdf,TRUE,3,,CASE_EVIDENCE,2,CASE_EVIDENCE,Single-case/series evidence; verify clinical and contextual generalizability.,NOT_RETRACTED,DISCOVERED,https://pmc.ncbi.nlm.nih.gov/articles/PMC11389481/pdf/12888_2024_Article_6055.pdf,,,,2026-09-21T04:47:02.569233+00:00,,Europe PMC REST API; license supplied by Europe PMC core record
EPMC_PMC11860306,The influence of the experience of trauma in childhood and the later development of psychosis. A case report,"Díaz Mayoral C, Setién Preciados P, Arroyo Sánchez E.",2024,,,,https://europepmc.org/article/PMC/PMC11860306,eng,,case study,clinical_psychology,CASE_EVIDENCE,MENTAL_HEALTH,,,case report/case study,,TRUE,,,,,,,TRUE,,,,TRUE,cc-by,LICENSED_OPEN_ACCESS,LICENSE_ALLOWS_REUSE_WITH_ATTRIBUTION,pdfs/EPMC_PMC11860306.pdf,TRUE,3,,CASE_EVIDENCE,1,CASE_EVIDENCE,Single-case/series evidence; verify clinical and contextual generalizability.,NOT_RETRACTED,DISCOVERED,https://pmc.ncbi.nlm.nih.gov/articles/PMC11860306/pdf/S0924933824015694a.pdf,,,,2026-09-21T04:47:02.569233+00:00,,Europe PMC REST API; license supplied by Europe PMC core record
EPMC_PMC11862735,Unraveling a Psychiatric Puzzle: Corticosteroid-Induced Psychosis in Addison’s Disease. A case report,"Mayor Sanabria F, Fernández Fariña M, Expósito Durán M, Regueiro Martín-Albo C, Arroyo Del Val C, Paz Otero M, Alberdi Páramo Í.",2024,,,,https://europepmc.org/article/PMC/PMC11862735,eng,,case study,clinical_psychology,CASE_EVIDENCE,MENTAL_HEALTH,,,case report/case study,,TRUE,,,,,,,TRUE,,,,TRUE,cc-by,LICENSED_OPEN_ACCESS,LICENSE_ALLOWS_REUSE_WITH_ATTRIBUTION,pdfs/EPMC_PMC11862735.pdf,TRUE,3,,CASE_EVIDENCE,1,CASE_EVIDENCE,Single-case/series evidence; verify clinical and contextual generalizability.,NOT_RETRACTED,DISCOVERED,https://pmc.ncbi.nlm.nih.gov/articles/PMC11862735/pdf/S0924933824010186a.pdf,,,,2026-09-21T04:47:02.569233+00:00,,Europe PMC REST API; license supplied by Europe PMC core record
EPMC_PMC11534418,Psychiatric Camouflage: A Case Series.,"S S, Pallurath Thekkethil D, Menon B.",2024,,,10.7759/cureus.72912,https://europepmc.org/article/MED/39498429,eng,,case study,clinical_psychology,CASE_EVIDENCE,MENTAL_HEALTH,,,case report/case study,,TRUE,,,,,,,TRUE,,,,TRUE,cc-by,LICENSED_OPEN_ACCESS,LICENSE_ALLOWS_REUSE_WITH_ATTRIBUTION,pdfs/EPMC_PMC11534418.pdf,TRUE,3,,CASE_EVIDENCE,1,CASE_EVIDENCE,Single-case/series evidence; verify clinical and contextual generalizability.,NOT_RETRACTED,DISCOVERED,https://pmc.ncbi.nlm.nih.gov/articles/PMC11534418/pdf/cureus-0016-00000072912.pdf,,,,2026-09-21T04:47:02.569233+00:00,,Europe PMC REST API; license supplied by Europe PMC core record
EPMC_PMC11100044,Exacerbation of central serous chorioretinopathy during trauma-confronting psychotherapy- a case report.,"Schäflein E, Mardin C, Morawa E, Rudolf S, Erim Y, Rhein C.",2024,,,10.1186/s12888-024-05756-6,https://europepmc.org/article/MED/38755608,eng,,case study,clinical_psychology,CASE_EVIDENCE,PSYCHOTHERAPY,,,case report/case study,,TRUE,,,,,,,TRUE,,,,TRUE,cc-by,LICENSED_OPEN_ACCESS,LICENSE_ALLOWS_REUSE_WITH_ATTRIBUTION,pdfs/EPMC_PMC11100044.pdf,TRUE,3,,CASE_EVIDENCE,2,CASE_EVIDENCE,Single-case/series evidence; verify clinical and contextual generalizability.,NOT_RETRACTED,DISCOVERED,https://pmc.ncbi.nlm.nih.gov/articles/PMC11100044/pdf/12888_2024_Article_5756.pdf,,,,2026-09-21T04:47:02.569233+00:00,,Europe PMC REST API; license supplied by Europe PMC core record
EPMC_PMC11088040,Extreme behavioural and psychological symptoms of dementia: a case study.,"Mulchandani M, Conrad A.",2024,,,10.1186/s12888-024-05785-1,https://europepmc.org/article/MED/38730300,eng,,case study,psychology,CASE_EVIDENCE,CASE_STUDY,,,case report/case study,,TRUE,,,,,,,TRUE,,,,TRUE,cc-by,LICENSED_OPEN_ACCESS,LICENSE_ALLOWS_REUSE_WITH_ATTRIBUTION,pdfs/EPMC_PMC11088040.pdf,TRUE,3,,CASE_EVIDENCE,1,CASE_EVIDENCE,Single-case/series evidence; verify clinical and contextual generalizability.,NOT_RETRACTED,DISCOVERED,https://pmc.ncbi.nlm.nih.gov/articles/PMC11088040/pdf/12888_2024_Article_5785.pdf,,,,2026-09-21T04:47:02.569233+00:00,,Europe PMC REST API; license supplied by Europe PMC core record
EPMC_PMC11182043,Complete remission of depression and anxiety using a ketogenic diet: case series.,"Calabrese L, Frase R, Ghaloo M.",2024,,,10.3389/fnut.2024.1396685,https://europepmc.org/article/MED/38887496,eng,,case study,clinical_psychology,CASE_EVIDENCE,MENTAL_HEALTH,,,case report/case study,,TRUE,,,,,,,TRUE,,,,TRUE,cc-by,LICENSED_OPEN_ACCESS,LICENSE_ALLOWS_REUSE_WITH_ATTRIBUTION,pdfs/EPMC_PMC11182043.pdf,TRUE,3,,CASE_EVIDENCE,1,CASE_EVIDENCE,Single-case/series evidence; verify clinical and contextual generalizability.,NOT_RETRACTED,DISCOVERED,https://pmc.ncbi.nlm.nih.gov/articles/PMC11182043/pdf/fnut-11-1396685.pdf,,,,2026-09-21T04:47:02.569233+00:00,,Europe PMC REST API; license supplied by Europe PMC core record
EPMC_PMC11862187,Epilepsy and psychiatric pathologies: A study of a case series,"Smaoui E, Bouhamed M, Mnif D, Cherif F, Feki I, Masmoudi J.",2024,,,,https://europepmc.org/article/PMC/PMC11862187,eng,,case study,clinical_psychology,CASE_EVIDENCE,MENTAL_HEALTH,,,case report/case study,,TRUE,,,,,,,TRUE,,,,TRUE,cc-by,LICENSED_OPEN_ACCESS,LICENSE_ALLOWS_REUSE_WITH_ATTRIBUTION,pdfs/EPMC_PMC11862187.pdf,TRUE,3,,CASE_EVIDENCE,1,CASE_EVIDENCE,Single-case/series evidence; verify clinical and contextual generalizability.,NOT_RETRACTED,DISCOVERED,https://pmc.ncbi.nlm.nih.gov/articles/PMC11862187/pdf/S0924933824009891a.pdf,,,,2026-09-21T04:47:02.569233+00:00,,Europe PMC REST API; license supplied by Europe PMC core record
EPMC_PMC10769945,Cognitive behavioural therapy for social anxiety disorder in people with bipolar disorder: a case series.,"Pavlova B, Warnock-Parkes E, Alda M, Uher R, Clark DM.",2024,,,10.1186/s40345-023-00321-8,https://europepmc.org/article/MED/38180531,eng,,case study,clinical_psychology,CASE_EVIDENCE,MENTAL_HEALTH,,,case report/case study,,TRUE,,,,,,,TRUE,,,,TRUE,cc-by,LICENSED_OPEN_ACCESS,LICENSE_ALLOWS_REUSE_WITH_ATTRIBUTION,pdfs/EPMC_PMC10769945.pdf,TRUE,3,,CASE_EVIDENCE,1,CASE_EVIDENCE,Single-case/series evidence; verify clinical and contextual generalizability.,NOT_RETRACTED,DISCOVERED,https://pmc.ncbi.nlm.nih.gov/articles/PMC10769945/,,,,2026-09-21T04:47:02.569233+00:00,,Europe PMC REST API; license supplied by Europe PMC core record
EPMC_PMC10945993,Co-designing behavioural activation for depression for autistic adolescents: A case series.,"Mohamed Z, Russell A, Palmer M, Simonoff E, Hollocks MJ.",2024,,,10.1177/13591045241229583,https://europepmc.org/article/MED/38286623,eng,,case study,clinical_psychology,CASE_EVIDENCE,MENTAL_HEALTH,,,case report/case study,,TRUE,,,,,,,TRUE,,,,TRUE,cc-by,LICENSED_OPEN_ACCESS,LICENSE_ALLOWS_REUSE_WITH_ATTRIBUTION,pdfs/EPMC_PMC10945993.pdf,TRUE,3,,CASE_EVIDENCE,1,CASE_EVIDENCE,Single-case/series evidence; verify clinical and contextual generalizability.,NOT_RETRACTED,DISCOVERED,https://pmc.ncbi.nlm.nih.gov/articles/PMC10945993/,,,,2026-09-21T04:47:02.569233+00:00,,Europe PMC REST API; license supplied by Europe PMC core record
